number,date,strategy,side,instrument,open,close,profit,result,max_profit,max_lose
33444,2023-07-01 05:00:11,sor_120,SELL,XRPUSDT,0.469,0.4692,-0.573219616204726,0,38.4,-9.6
33445,2023-07-01 09:00:08,so_120,SELL,XRPUSDT,0.4692,0.4688,0.0662574595055536,1,24.5,-25.6
33446,2023-07-01 09:00:11,sor_120,BUY,XRPUSDT,0.4692,0.4688,-0.786257459505554,0,25.6,-24.5
33447,2023-07-01 15:00:10,so_120,SELL,SOLUSDT,17.95,18.45,-3.42901838440111,0,52.81,-135.71
33448,2023-07-01 15:00:17,sor_120,BUY,SOLUSDT,17.95,18.45,3.25621838440111,1,135.71,-52.81
33449,2023-07-01 21:00:18,so_120,BUY,BTCUSDT,30472.0,30582.59,3.6365417432397,1,76.88,-59.25
33450,2023-07-01 21:00:24,sor_120,SELL,BTCUSDT,30472.0,30582.59,-5.4365417432397,0,59.25,-76.88
33451,2023-07-02 01:00:04,so_120,BUY,XRPUSDT,0.4686,0.4712,2.41422108408023,1,78.95,-3.2
33452,2023-07-02 01:00:08,sor_120,SELL,XRPUSDT,0.4686,0.4712,-3.13422108408023,0,3.2,-78.95
33453,2023-07-02 09:00:11,so_120,BUY,SOLUSDT,18.43,19.09,4.21094129137276,1,69.01,-11.06
33454,2023-07-02 09:00:15,sor_120,SELL,SOLUSDT,18.43,19.09,-4.38374129137276,0,11.06,-69.01
33455,2023-07-02 15:00:12,so_120,SELL,EOSUSDT,0.736,0.755,-13.2676086956522,0,394.0,-482.35
33456,2023-07-02 15:00:16,sor_120,BUY,EOSUSDT,0.736,0.755,12.5476086956522,1,482.35,-394.0
33457,2023-07-02 23:00:11,so_120,SELL,AXSUSDT,5.64,6.27,-28.1055319148936,0,70.93,-478.73
33458,2023-07-02 23:00:16,sor_120,BUY,AXSUSDT,5.64,6.27,27.7455319148936,1,478.73,-70.93
33459,2023-07-03 11:00:08,so_120,BUY,EOSUSDT,0.755,0.76,2.9512582781457,1,125.85,-112.6
33460,2023-07-03 11:00:21,sor_120,SELL,EOSUSDT,0.755,0.76,-3.6712582781457,0,112.6,-125.85
33461,2023-07-03 19:00:11,so_120,BUY,AXSUSDT,6.28,6.36,3.00471337579618,1,59.72,-35.83
33462,2023-07-03 19:00:14,sor_120,SELL,AXSUSDT,6.28,6.36,-3.36471337579618,0,35.83,-59.72
33463,2023-07-03 21:00:10,so_120,SELL,LTCUSDT,84.89,106.63,-64.2040310990694,0,17.38,-883.5
33464,2023-07-03 21:00:15,sor_120,BUY,LTCUSDT,84.89,106.63,63.8440310990694,1,883.5,-17.38
33465,2023-07-04 03:00:08,so_120,SELL,SOLUSDT,19.1,19.39,-1.90838952879581,0,15.08,-39.58
33466,2023-07-04 03:00:11,sor_120,BUY,SOLUSDT,19.1,19.39,1.73558952879581,1,39.58,-15.08
33467,2023-07-04 07:00:10,so_120,SELL,BNBUSDT,233.7,245.4,-25.3920924261875,0,51.35,-436.45
33468,2023-07-04 07:00:16,sor_120,BUY,BNBUSDT,233.7,245.4,24.6720924261875,1,436.45,-51.35
33469,2023-07-04 13:00:11,so_120,SELL,EOSUSDT,0.76,0.755,2.92947368421053,1,85.55,-105.25
33470,2023-07-04 13:00:14,sor_120,BUY,EOSUSDT,0.76,0.755,-3.64947368421053,0,105.25,-85.55
33471,2023-07-04 17:00:11,so_120,SELL,AXSUSDT,6.36,6.22,5.32314465408807,1,74.68,-39.3
33472,2023-07-04 17:00:17,sor_120,BUY,AXSUSDT,6.36,6.22,-5.68314465408807,0,39.3,-74.68
33473,2023-07-04 19:00:06,so_120,SELL,DOTUSDT,4.939,5.327,-39.6392063170682,0,144.75,-701.55
