close  ,max_lose,max_profit,number,open   ,profit,result,instrument,side,strategy          ,date
6.707  ,-1.2055 ,1.356     ,31461 ,6.678   ,26.57  ,1     ,DOTUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:00:29.758
6.707  ,-2.0935 ,1.356     ,31462 ,6.678   ,26.57  ,1     ,DOTUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 01:00:29.990
0.8208 ,-2.0495 ,1.926     ,31463 ,0.8142  ,6.44   ,1     ,EOSUSDT   ,Buy ,maxCh_120         ,2024-04-27 01:00:58.284
0.8208 ,-2.4595 ,1.689     ,31464 ,0.8128  ,41.68  ,1     ,EOSUSDT   ,Buy ,maxCh_multi       ,2024-04-27 01:00:58.519
0.8208 ,-2.044  ,1.865     ,31465 ,0.8142  ,52.76  ,1     ,EOSUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-27 01:00:58.737
0.8208 ,-2.1924 ,1.813     ,31466 ,0.8142  ,22.73  ,1     ,EOSUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-27 01:00:58.956
0.8193 ,-2.0495 ,2.022     ,31467 ,0.8142  ,4.92   ,1     ,EOSUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 01:01:19.698
6.685  ,-0.059  ,0.7895    ,31468 ,6.678   ,-1.73  ,1     ,DOTUSDT   ,Buy ,maxCh_120         ,2024-04-27 01:02:53.880
6.685  ,-1.6407 ,2.206     ,31469 ,6.678   ,28.93  ,1     ,DOTUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-27 01:02:54.359
6.685  ,-1.7669 ,2.163     ,31470 ,6.678   ,17.36  ,1     ,DOTUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-27 01:02:54.624
6.68   ,-0.059  ,0.5312    ,31471 ,6.678   ,-1.73  ,1     ,DOTUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 01:03:05.035
3103.4 ,-1.8699 ,1.279     ,31472 ,3095.0  ,12.71  ,1     ,ETHUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:03:14.691
6.681  ,0.0     ,1.005     ,31473 ,6.661   ,1.32   ,1     ,DOTUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:09:21.434
0.8186 ,-2.0495 ,1.704     ,31474 ,0.8165  ,1.97   ,1     ,EOSUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:09:21.804
0.8186 ,-1.9548 ,1.763     ,31475 ,0.8165  ,1.54   ,1     ,EOSUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:09:22.023
0.8186 ,-2.8709 ,1.704     ,31476 ,0.8165  ,1.97   ,1     ,EOSUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:09:22.253
0.8186 ,-2.6728 ,2.072     ,31477 ,0.8165  ,1.97   ,1     ,EOSUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 01:09:22.480
0.8186 ,-1.8663 ,1.719     ,31478 ,0.8165  ,1.97   ,1     ,EOSUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:09:22.745
0.8184 ,-2.0495 ,1.926     ,31479 ,0.8165  ,3.5    ,1     ,EOSUSDT   ,Buy ,maxCh_120         ,2024-04-27 01:09:32.092
0.8184 ,-2.044  ,1.865     ,31480 ,0.8165  ,3.5    ,1     ,EOSUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-27 01:09:32.342
0.8184 ,-2.1924 ,1.813     ,31481 ,0.8165  ,3.5    ,1     ,EOSUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-27 01:09:32.546
0.816  ,-2.0495 ,2.022     ,31482 ,0.8165  ,2.58   ,0     ,EOSUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 01:10:10.158
86.78  ,-1.8006 ,1.346     ,31483 ,86.48   ,1.7    ,1     ,LTCUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:16:23.573
135.66 ,-1.9018 ,1.612     ,31484 ,138.29  ,27.7   ,0     ,SOLUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:17:02.881
6.504  ,-2.0924 ,1.356     ,31485 ,6.643   ,1.62   ,0     ,DOTUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:17:32.095
62534.9,-1.3801 ,1.284     ,31486 ,63410.0 ,6.38   ,0     ,BTCUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:17:39.561
133.28 ,-3.2169 ,1.693     ,31487 ,137.71  ,-88.55 ,0     ,SOLUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 01:17:59.272
133.28 ,-3.2169 ,1.517     ,31488 ,137.71  ,-134.89,0     ,SOLUSDT   ,Buy ,maxCh_multi       ,2024-04-27 01:17:59.678
6.514  ,0.0     ,1.005     ,31489 ,6.504   ,1.85   ,1     ,DOTUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 01:18:30.429
6.514  ,0.0     ,1.005     ,31490 ,6.504   ,0.95   ,1     ,DOTUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:18:33.928
0.5081 ,0.0     ,1.423     ,31491 ,0.5073  ,9.85   ,1     ,XRPUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:18:38.738
85.42  ,0.0     ,2.533     ,31492 ,87.64   ,37.71  ,1     ,LTCUSDT   ,Sell,maxCh_pTP         ,2024-04-27 01:18:56.225
85.62  ,0.0     ,2.305     ,31493 ,87.64   ,3.21   ,1     ,LTCUSDT   ,Sell,maxCh_multi       ,2024-04-27 01:19:10.294
134.93 ,0.0     ,1.182     ,31494 ,134.38  ,2.09   ,1     ,SOLUSDT   ,Buy ,maxCh_120         ,2024-04-27 01:19:51.890
134.93 ,-0.1121 ,1.182     ,31495 ,134.38  ,0.28   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 01:19:52.183
134.93 ,0.0     ,0.6381    ,31496 ,134.38  ,3.96   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:19:52.486
6.596  ,-0.2118 ,0.7895    ,31497 ,6.61    ,-0.03  ,0     ,DOTUSDT   ,Buy ,maxCh_120         ,2024-04-27 01:20:02.316
6.596  ,-0.2118 ,0.5312    ,31498 ,6.61    ,-0.4   ,0     ,DOTUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 01:20:02.772
6.596  ,-0.2118 ,1.005     ,31499 ,6.61    ,1.62   ,0     ,DOTUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:20:03.105
